Symbol;OrderId;ClientId;ClientOrderId;Status;Type;Side;Price;Gain;Quantity;Commission;tradeId;transactDate;transactTime;Timestamp
OMGUSDT;2018125080;3;acPBSMD8C1H3vqKoJaeDMj;FILLED;MARKET;BUY;1.176;0.0;14.1;0.0141;121032742;2024-03-08;00:00:22;1709852422443
ONEUSDT;1424270238;3;wvW1C912pPbVuC7KVG5dQ2;FILLED;MARKET;BUY;0.03381;0.0;492.9;0.4929;113429833;2024-03-09;00:00:20;1709938820484
ROSEUSDT;1378739863;3;tfmBtlb2vjC4pViE2I1Ken;FILLED;MARKET;BUY;0.1722;0.0;96.7;0.0967;102287762;2024-03-11;00:00:24;1710111624020
INJUSDT;1195929813;3;hrpxMNjyOwwWePNUFvhweX;FILLED;MARKET;BUY;51.08;0.0;0.3;0.0003;78464320;2024-03-13;00:00:20;1710284420800
FETUSDT;1263499180;3;qiJawwywff7xib9y7TgOS0;FILLED;MARKET;BUY;2.8646;0.0;5.0;0.005;101228455;2024-03-15;00:00:17;1710457217972
RUNEUSDT;1467236795;3;TWZvcalxCgtANao8KUtGGU;FILLED;MARKET;BUY;9.259;0.0;1.8;0.0018;111680186;2024-03-16;00:00:21;1710543621802
ROSEUSDT;1396478406;3;haM6iCrVm1Sf02NaQFDY1M;FILLED;MARKET;SELL;0.14653;-2.479722;96.6;0.0141548;103169716;2024-03-16;19:40:28;1710614428763
FETUSDT;1285613059;3;bxWbD9fHJVSMl2ZcrHbhxZ;FILLED;MARKET;SELL;2.3842;-1.9216;4.0;0.0095368;103093705;2024-03-17;00:00:30;1710630030202
ONEUSDT;1440526224;3;uZXvMm5sYomjcPVI04Rp9m;FILLED;MARKET;SELL;0.02855;-2.590024;492.4;0.01405802;114602315;2024-03-19;00:00:21;1710802821242
OMGUSDT;2030891631;3;Efe4FmmAtDtioDgnAafeJr;FILLED;MARKET;SELL;0.997;-2.506;14.0;0.013958;121771343;2024-03-19;04:40:17;1710819617579
INJUSDT;1226961671;3;2OmjXz2I9wCCxVi9pu9gPL;FILLED;MARKET;SELL;36.34;-2.947999999999999;0.2;0.007268;80907302;2024-03-19;08:53:24;1710834804704
RUNEUSDT;1484778229;3;Ll3hoTibfUxBt1oNzetLq8;FILLED;MARKET;SELL;7.623;-2.7812;1.7;0.0129591;112771723;2024-03-19;08:53:32;1710834812991
