Date;Solde
2022-04-12;1564.06
2022-04-13;1526.86
2022-04-14;1537.94
2022-04-15;1536.08
2022-04-16;1587.79
2022-04-17;1653.69
2022-04-18;1724.75
2022-04-19;1736.98
2022-04-20;1736.72
2022-04-21;1788.59
2022-04-22;1847.78
2022-04-23;1826.8
2022-04-24;1818.06
2022-04-25;1793.2
2022-04-26;1871.83
2022-04-27;1897.56
2022-04-28;1898.32
2022-04-29;1948.37
2022-04-30;1966.8
2022-05-01;1981.12
2022-05-02;2004.8899999999999
2022-05-03;2024.49
2022-05-04;2021.15
2022-05-05;2099.88
2022-05-06;2064.32
2022-05-07;2124.02
2022-05-08;2179.91
2022-05-09;2140.4700000000003
2022-05-10;2126.96
2022-05-11;2083.4
2022-05-12;2136.4700000000003
2022-05-13;2193.35
2022-05-14;2267.2799999999997
2022-05-15;2221.58
2022-05-16;2256.05
2022-05-17;2301.45
2022-05-18;2309.01
2022-05-19;2386.7799999999997
2022-05-20;2368.42
2022-05-21;2406.59
2022-05-22;2367.05
2022-05-23;2430.14
2022-05-24;2506.26
2022-05-25;2579.26
2022-05-26;2638.58
2022-05-27;2691.09
2022-05-28;2654.6
2022-05-29;2651.3
2022-05-30;2687.8900000000003
2022-05-31;2706.8199999999997
2022-06-01;2735.21
2022-06-02;2778.1
2022-06-03;2852.59
2022-06-04;2924.21
2022-06-05;2930.33
2022-06-06;2967.17
2022-06-07;2941.65
2022-06-08;2981.51
2022-06-09;3054.91
2022-06-10;3081.99
2022-06-11;3117.74
2022-06-12;3085.71
2022-06-13;3062.4
2022-06-14;3062.19
2022-06-15;3126.5699999999997
2022-06-16;3182.3199999999997
2022-06-17;3244.94
2022-06-18;3239.58
2022-06-19;3298.56
2022-06-20;3309.1800000000003
2022-06-21;3335.52
2022-06-22;3353.06
2022-06-23;3313.1400000000003
2022-06-24;3318.2
2022-06-25;3328.2799999999997
2022-06-26;3284.8
2022-06-27;3340.1400000000003
2022-06-28;3325.99
2022-06-29;3308.83
