Symbol;OrderId;ClientId;ClientOrderId;Status;Type;Side;Price;Gain;Quantity;Commission;tradeId;transactDate;transactTime;Timestamp
AVAXUSDT;1934671;1;T7PeypifDxx799wWpmFqyf;FILLED;MARKET;BUY;41.04;0.0;2.45;0.0;115950;2023-12-19;09:53:37;1702976017140
FETUSDT;1864602;1;5dtutGtWfxuxWNqLhsNTQT;FILLED;MARKET;BUY;0.7069;0.0;141.0;0.0;96718;2023-12-19;09:53:49;1702976029311
INJUSDT;2463866;1;HdMx0cqXpLRsAQjvopPS4P;FILLED;MARKET;BUY;39.251;0.0;2.6;0.0;169147;2023-12-19;09:53:55;1702976035781
OMGUSDT;173979;1;eU3SiUqBoRBNIEAV9IuIfm;FILLED;MARKET;BUY;0.837;0.0;120.5;0.0;14278;2023-12-19;09:54:00;1702976040639
ROSEUSDT;1511293;1;ACRf0roBn7fRffhhyjB4Qz;FILLED;MARKET;BUY;0.08928;0.0;1109.8;0.0;60262;2023-12-19;09:54:07;1702976047664
AVAXUSDT;1981889;1;2OdUQ0Z6y43VUen5Fn4FxO;FILLED;MARKET;SELL;39.4;-4.018000000000002;2.45;0.0;118637;2023-12-19;18:26:56;1703006816042
AVAXUSDT;1987573;1;BNENK24whu8dNeKh7Xn9s8;FILLED;MARKET;BUY;38.89;0.0;2.45;0.0;119075;2023-12-19;19:31:57;1703010717459
AVAXUSDT;1988045;1;zlsrpx4Srhj9sApRSKKf0t;FILLED;MARKET;SELL;39.26;0.9064999999999938;2.45;0.0;119122;2023-12-19;19:36:55;1703011015327
AVAXUSDT;1988499;1;lDTiSXte0ZzdkAC3TJKTWH;FILLED;MARKET;BUY;39.29;0.0;2.44;0.0;119146;2023-12-19;19:41:55;1703011315951
AVAXUSDT;2015170;1;D9xycCpxY2V2aSSY5XFCaL;FILLED;MARKET;SELL;39.72;1.0491999999999992;2.44;0.0;120627;2023-12-20;00:11:02;1703027462981
OMGUSDT;181519;1;bXMSKq33EKwmcpwlDGkqac;FILLED;MARKET;SELL;0.797;-4.267999999999992;106.7;0.0;14944;2023-12-20;03:11:12;1703038272116
OMGUSDT;181964;1;prdzSvamPgTNLgqmQ0vf4P;FILLED;MARKET;BUY;0.803;0.0;105.4;0.0;14992;2023-12-20;04:11:12;1703041872375
AVAXUSDT;2080673;1;q0N1yB2PGLLnU6wzCOcY9Y;FILLED;MARKET;BUY;42.23;0.0;2.26;0.0;124469;2023-12-20;12:11:03;1703070663607
AVAXUSDT;2086549;1;SJ9m0Do1v29yTSQbcdYvC5;FILLED;MARKET;SELL;42.54;0.0372000000000002;0.12;0.0;124856;2023-12-20;13:11:02;1703074262157
AVAXUSDT;2092314;1;P0NG5O1HGBRTbVQRFHHLbR;FILLED;MARKET;BUY;42.55;0.0;0.12;0.0;125179;2023-12-20;14:11:03;1703077863620
SOLUSDT;2627797;1;frIRZc9uI9nQglYxEGpWWM;FILLED;MARKET;BUY;78.64;0.0;1.24;0.0;301689;2023-12-20;16:11:18;1703085078930
ADAUSDT;2099855;1;qzH2WvUuGdv3nI1PkPWZHh;FILLED;MARKET;BUY;0.5858;0.0;169.8;0.0;152353;2023-12-20;22:25:46;1703107546522
ADAUSDT;2099868;1;M7RvOl82mBXydU6GJzWQwF;FILLED;MARKET;SELL;0.5849;-0.152820000000002;169.8;0.0;152357;2023-12-20;22:25:51;1703107551398
ADAUSDT;2102579;1;bX8FmKvWm5q60twHPkFwim;FILLED;MARKET;BUY;0.5852;0.0;170.8;0.0;152580;2023-12-20;22:56:22;1703109382948
ADAUSDT;2102586;1;PlSejucd8fj7FWeoJNhTzL;FILLED;MARKET;SELL;0.585;-0.0341600000000152;170.8;0.0;152582;2023-12-20;22:56:26;1703109386366
ADAUSDT;2105903;1;anRw2Hk7wGMg2G4ZM1zXK3;FILLED;MARKET;BUY;0.5892;0.0;169.4;0.0;153024;2023-12-20;23:30:04;1703111404241
ADAUSDT;2105912;1;v9TJBRBMVC6CPIlCmepTM7;FILLED;MARKET;SELL;0.5891;-0.0169399999999981;169.4;0.0;153026;2023-12-20;23:30:07;1703111407619
ADAUSDT;2109468;1;ZHiuohqbjYc8i2v15gRl5P;FILLED;MARKET;BUY;0.5879;0.0;169.6;0.0;153462;2023-12-21;00:00:04;1703113204383
ADAUSDT;2109476;1;ln7R0nZI34RNAUNCvTvsSB;FILLED;MARKET;SELL;0.5877;-0.0339199999999962;169.6;0.0;153464;2023-12-21;00:00:07;1703113207697
ADAUSDT;2112774;1;mSD3QSIBOyueKL4EmYMIxR;FILLED;MARKET;BUY;0.5858;0.0;169.6;0.0;154035;2023-12-21;00:30:03;1703115003155
ADAUSDT;2112776;1;1OaiHdCvoWIGpXroG7GC3Y;FILLED;MARKET;SELL;0.5853;-0.0847999999999906;169.6;0.0;154038;2023-12-21;00:30:06;1703115006987
ADAUSDT;2115812;1;aIWjAyZS5S0wAr8KQS95e9;FILLED;MARKET;BUY;0.5899;0.0;168.4;0.0;154219;2023-12-21;01:00:03;1703116803633
