Crypto;Symbol;Quantity;Current_Price;Price_Buy
USDT;USDT;1500.0;;0.0
Avalanche;AVAXUSDT;0.0;41.81;40.35
ADAU;ADAUSDT;0.0;0.5894;0.0
AUDIO;AUDIOUSDT;0.0;0.2174;0.0
Bitcoin;BTCUSDT;0.0;42824.49;0.0
EGLD;EGLDUSDT;0.0;59.09;0.0
Holo;HOTUSDT;0.0;0.002122;0.0
Ethereum Classic;ETCUSDT;0.0;20.05;0.0
Fetch.ai;FETUSDT;140.0;0.7256;0.7132
INJ;INJUSDT;2.8;43.232;36.635
OmiseGO;OMGUSDT;120.8;0.826;0.803
Harmony;ONEUSDT;0.0;0.0148;0.0
Rune;RUNEUSDT;0.0;5.298;0.0
Oasis Network;ROSEUSDT;1040.3;0.0993;0.09592
CTSI;CTSIUSDT;0.0;0.1726;0.0
Solana;SOLUSDT;0.0;76.53;0.0
